TÊN THỨC ĂN,Calories (kcal),Protein (g),Fat (g),Carbonhydrates (g),Chất xơ (g),Cholesterol (mg),Canxi (mg),Photpho (mg),Sắt (mg),Natri (mg),Kali (mg),Beta Caroten (mcg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin C (mg),Loại
Bánh in chay,376,"3,2","0,3","90,2","0,2",0,2,"0,9","0,1",0,0,0,"0,0","0,04","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Bánh sôcôla,449,"3,9","17,6","68,8","0,0",0,58,"142,0","3,7",0,0,10,"13,0","0,04","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Bánh thỏi sôcôla,543,"4,9","30,4","62,5","0,0",172,280,"280,0","1,5",0,0,2,"0,0","0,03","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Bánh men,369,"9,6","3,7","74,2","0,2",0,76,"140,4","3,9",0,0,105,"17,0","0,15","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Đường cát trắng,397,"0,0","0,0","99,3","0,0",0,0,"0,0","0,0",0,0,0,"0,0","0,00","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Kẹo cà phê,378,"0,0","1,3","91,5","0,0",0,0,"0,0","0,0",0,0,0,"0,0","0,00","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Kẹo dừa mềm,415,"0,6","12,2","75,6","2,5",0,16,"6,6","0,4",0,0,0,"0,0","0,00","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Kẹo đậu phộng,449,"10,3","16,5","64,8","2,2",0,0,"0,0","0,0",0,0,0,"0,0","0,00","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Kẹo ngậm bạc hà,268,"5,2","0,0","61,9","0,0",0,96,"18,0","1,6",0,0,0,"0,0","0,00","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Kẹo sôcôla,388,"1,6","4,6","85,1","1,2",0,0,"0,0","0,0",0,0,0,"0,0","0,00","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Kẹo sữa,390,"2,9","5,2","93,0","0,0",0,0,"0,0","0,0",0,0,0,"0,0","0,00","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Mật ong,327,"0,4","0,0","81,3","0,0",0,5,"16,0","0,9",0,0,0,"0,0","0,00","4,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
